title,company,city,state,country,experienceLevel,salaryMin,salaryMax,salaryMedian,currency,source
Software Engineer,Shopify,Ottawa,Ontario,CA,entry,75000,95000,85000,CAD,levels
Software Engineer,Shopify,Toronto,Ontario,CA,mid,105000,145000,125000,CAD,levels
Senior Software Engineer,Shopify,Ottawa,Ontario,CA,mid,130000,175000,152000,CAD,levels
Senior Software Engineer,Shopify,Toronto,Ontario,CA,mid,135000,180000,158000,CAD,levels
Staff Software Engineer,Shopify,Toronto,Ontario,CA,senior,175000,240000,210000,CAD,levels
Data Scientist,Shopify,Toronto,Ontario,CA,mid,100000,145000,122000,CAD,levels
Product Manager,Shopify,Toronto,Ontario,CA,mid,110000,155000,132000,CAD,levels
Software Engineer,RBC,Toronto,Ontario,CA,entry,68000,88000,78000,CAD,levels
Senior Software Engineer,RBC,Toronto,Ontario,CA,mid,110000,150000,130000,CAD,levels
Data Engineer,RBC,Toronto,Ontario,CA,mid,90000,125000,108000,CAD,levels
Data Analyst,RBC,Toronto,Ontario,CA,entry,58000,78000,68000,CAD,levels
Software Engineer,TD Bank,Toronto,Ontario,CA,entry,66000,86000,76000,CAD,levels
Senior Software Engineer,TD Bank,Toronto,Ontario,CA,mid,108000,148000,128000,CAD,levels
Financial Analyst,TD Bank,Toronto,Ontario,CA,entry,60000,82000,72000,CAD,levels
Software Engineer,Amazon Canada,Vancouver,British Columbia,CA,entry,85000,100000,92000,CAD,levels
Software Engineer,Amazon Canada,Toronto,Ontario,CA,mid,110000,145000,128000,CAD,levels
Senior Software Engineer,Amazon Canada,Vancouver,British Columbia,CA,mid,140000,185000,162000,CAD,levels
Staff Software Engineer,Amazon Canada,Vancouver,British Columbia,CA,senior,185000,255000,220000,CAD,levels
Machine Learning Engineer,Amazon Canada,Vancouver,British Columbia,CA,mid,120000,170000,145000,CAD,levels
Software Engineer,Google Canada,Waterloo,Ontario,CA,entry,88000,105000,96000,CAD,levels
Software Engineer,Google Canada,Toronto,Ontario,CA,mid,115000,150000,132000,CAD,levels
Senior Software Engineer,Google Canada,Waterloo,Ontario,CA,mid,145000,190000,168000,CAD,levels
Senior Software Engineer,Google Canada,Toronto,Ontario,CA,mid,148000,192000,170000,CAD,levels
Staff Software Engineer,Google Canada,Toronto,Ontario,CA,senior,190000,260000,225000,CAD,levels
Machine Learning Engineer,Google Canada,Toronto,Ontario,CA,mid,125000,175000,150000,CAD,levels
Software Engineer,Microsoft Canada,Vancouver,British Columbia,CA,entry,82000,100000,90000,CAD,levels
Senior Software Engineer,Microsoft Canada,Vancouver,British Columbia,CA,mid,138000,185000,160000,CAD,levels
Staff Software Engineer,Microsoft Canada,Vancouver,British Columbia,CA,senior,180000,250000,215000,CAD,levels
Engineering Manager,Microsoft Canada,Vancouver,British Columbia,CA,senior,160000,210000,185000,CAD,levels
Software Engineer,Wealthsimple,Toronto,Ontario,CA,entry,75000,92000,84000,CAD,levels
Senior Software Engineer,Wealthsimple,Toronto,Ontario,CA,mid,120000,165000,142000,CAD,levels
Product Designer,Wealthsimple,Toronto,Ontario,CA,mid,90000,130000,110000,CAD,levels
Software Engineer,Hootsuite,Vancouver,British Columbia,CA,entry,70000,88000,80000,CAD,levels
Senior Software Engineer,Hootsuite,Vancouver,British Columbia,CA,mid,110000,155000,132000,CAD,levels
DevOps Engineer,Hootsuite,Vancouver,British Columbia,CA,mid,95000,130000,112000,CAD,levels
Software Engineer,Clio,Vancouver,British Columbia,CA,entry,72000,90000,82000,CAD,levels
Senior Software Engineer,Clio,Vancouver,British Columbia,CA,mid,115000,160000,138000,CAD,levels
Software Engineer,Telus,Vancouver,British Columbia,CA,entry,65000,85000,75000,CAD,levels
Senior Software Engineer,Telus,Vancouver,British Columbia,CA,mid,105000,145000,125000,CAD,levels
DevOps Engineer,Telus,Vancouver,British Columbia,CA,mid,88000,125000,106000,CAD,levels
Software Engineer,Bell,Montreal,Quebec,CA,entry,62000,82000,72000,CAD,levels
Senior Software Engineer,Bell,Montreal,Quebec,CA,mid,100000,140000,120000,CAD,levels
