title,company,city,state,country,experienceLevel,salaryMin,salaryMax,salaryMedian,currency,source
Software Engineer,TCS,Bangalore,Karnataka,IN,entry,400000,700000,550000,INR,ambitionbox
Software Engineer,TCS,Hyderabad,Telangana,IN,entry,380000,680000,530000,INR,ambitionbox
Software Engineer,TCS,Pune,Maharashtra,IN,entry,380000,680000,530000,INR,ambitionbox
Software Engineer,TCS,Chennai,Tamil Nadu,IN,entry,370000,660000,520000,INR,ambitionbox
Software Engineer,TCS,Mumbai,Maharashtra,IN,entry,400000,720000,560000,INR,ambitionbox
Senior Software Engineer,TCS,Bangalore,Karnataka,IN,mid,800000,1500000,1100000,INR,ambitionbox
Senior Software Engineer,TCS,Hyderabad,Telangana,IN,mid,780000,1450000,1050000,INR,ambitionbox
Senior Software Engineer,TCS,Pune,Maharashtra,IN,mid,780000,1400000,1050000,INR,ambitionbox
Software Engineer,Infosys,Bangalore,Karnataka,IN,entry,420000,750000,580000,INR,ambitionbox
Software Engineer,Infosys,Hyderabad,Telangana,IN,entry,400000,720000,560000,INR,ambitionbox
Software Engineer,Infosys,Pune,Maharashtra,IN,entry,400000,720000,560000,INR,ambitionbox
Software Engineer,Infosys,Chennai,Tamil Nadu,IN,entry,390000,700000,550000,INR,ambitionbox
Senior Software Engineer,Infosys,Bangalore,Karnataka,IN,mid,850000,1600000,1200000,INR,ambitionbox
Senior Software Engineer,Infosys,Hyderabad,Telangana,IN,mid,820000,1550000,1150000,INR,ambitionbox
Software Engineer,Wipro,Bangalore,Karnataka,IN,entry,380000,680000,530000,INR,ambitionbox
Software Engineer,Wipro,Hyderabad,Telangana,IN,entry,360000,660000,510000,INR,ambitionbox
Software Engineer,Wipro,Pune,Maharashtra,IN,entry,360000,660000,510000,INR,ambitionbox
Senior Software Engineer,Wipro,Bangalore,Karnataka,IN,mid,750000,1400000,1050000,INR,ambitionbox
Software Engineer,HCL Technologies,Bangalore,Karnataka,IN,entry,380000,700000,540000,INR,ambitionbox
Software Engineer,HCL Technologies,Noida,Uttar Pradesh,IN,entry,360000,680000,520000,INR,ambitionbox
Senior Software Engineer,HCL Technologies,Bangalore,Karnataka,IN,mid,780000,1450000,1080000,INR,ambitionbox
