title,company,city,state,country,experienceLevel,salaryMin,salaryMax,salaryMedian,currency,source
Software Engineer,Google,London,England,GB,entry,50000,70000,60000,GBP,levels
Software Engineer,Google,London,England,GB,mid,75000,105000,90000,GBP,levels
Senior Software Engineer,Google,London,England,GB,senior,100000,145000,125000,GBP,levels
Staff Software Engineer,Google,London,England,GB,senior,130000,175000,155000,GBP,levels
Machine Learning Engineer,Google,London,England,GB,mid,80000,115000,95000,GBP,levels
Software Engineer,Amazon,London,England,GB,entry,48000,65000,55000,GBP,levels
Software Engineer,Amazon,London,England,GB,mid,70000,98000,82000,GBP,levels
Senior Software Engineer,Amazon,London,England,GB,senior,95000,135000,115000,GBP,levels
Data Engineer,Amazon,London,England,GB,mid,65000,90000,78000,GBP,levels
Software Engineer,Amazon,Edinburgh,Scotland,GB,mid,60000,85000,72000,GBP,levels
Software Engineer,Meta,London,England,GB,entry,52000,72000,62000,GBP,levels
Software Engineer,Meta,London,England,GB,mid,78000,110000,95000,GBP,levels
Senior Software Engineer,Meta,London,England,GB,senior,105000,155000,130000,GBP,levels
Staff Software Engineer,Meta,London,England,GB,senior,135000,180000,160000,GBP,levels
Machine Learning Engineer,Meta,London,England,GB,mid,85000,120000,100000,GBP,levels
Software Engineer,Microsoft,London,England,GB,entry,47000,63000,55000,GBP,levels
Software Engineer,Microsoft,London,England,GB,mid,68000,95000,80000,GBP,levels
Senior Software Engineer,Microsoft,London,England,GB,senior,90000,130000,110000,GBP,levels
Software Engineer,Microsoft,Cambridge,England,GB,mid,62000,88000,75000,GBP,levels
Product Manager,Microsoft,London,England,GB,mid,70000,98000,85000,GBP,levels
Software Engineer,Apple,London,England,GB,entry,48000,66000,57000,GBP,levels
Software Engineer,Apple,London,England,GB,mid,72000,100000,85000,GBP,levels
Senior Software Engineer,Apple,London,England,GB,senior,95000,140000,118000,GBP,levels
Machine Learning Engineer,Apple,London,England,GB,mid,78000,112000,92000,GBP,levels
Software Engineer,Revolut,London,England,GB,entry,45000,62000,53000,GBP,levels
Software Engineer,Revolut,London,England,GB,mid,68000,95000,80000,GBP,levels
Senior Software Engineer,Revolut,London,England,GB,senior,90000,130000,110000,GBP,levels
